State,Predicted 2024 Percentage
Alabama,28.781372549019693
Alaska,32.29068627450977
Arizona,33.34901960784305
Arkansas,26.211274509803843
California,37.55000000000007
Colorado,46.2053921568629
Connecticut,43.01960784313724
Delaware,36.36274509803911
District of Columbia,66.92598039215682
Florida,34.18970588235288
Georgia,35.34803921568641
Hawaii,36.007352941176464
Idaho,31.600000000000023
Illinois,38.65490196078417
Indiana,30.012254901960773
Iowa,31.977941176470495
Kansas,36.50735294117658
Kentucky,28.16225490196075
Louisiana,27.487254901960796
Maine,36.354901960784446
Maryland,44.14068627450956
Massachusetts,48.15980392156848
Michigan,32.92941176470595
Minnesota,39.99117647058824
Mississippi,25.16225490196075
Missouri,32.93137254901967
Montana,35.71617647058838
Nebraska,35.3955882352941
Nevada,27.903921568627425
New Hampshire,41.25147058823518
New Jersey,44.57794117647063
New Mexico,30.30147058823536
New York,40.77647058823527
North Carolina,36.30441176470595
North Dakota,32.726470588235316
Ohio,32.14117647058811
Oklahoma,28.377941176470586
Oregon,37.64313725490206
Pennsylvania,35.79999999999973
Rhode Island,38.42401960784332
South Carolina,32.74264705882342
South Dakota ,31.650980392156725
Tennessee,31.76568627450979
Texas,34.19068627450997
Utah,38.34117647058838
Vermont,43.9367647058823
Virginia,43.16715686274506
Washington,40.16568627450988
West Virginia,24.523529411764684
Wisconsin,33.70343137254895
Wyoming,30.393137254901944
