State,Predicted 2023
Alabama,28.04088235294114
Alaska,32.23279411764702
Arizona,32.64117647058822
Arkansas,25.722499999999968
California,36.884411764705874
Colorado,45.17897058823519
Connecticut,42.54294117647066
Delaware,35.40235294117656
District of Columbia,65.51044117647052
Florida,33.242499999999836
Georgia,34.67735294117642
Hawaii,35.49191176470583
Idaho,30.594705882352855
Illinois,38.04411764705878
Indiana,29.33867647058821
Iowa,31.127205882352996
Kansas,36.034852941176496
Kentucky,27.422500000000014
Louisiana,26.901470588235384
Maine,35.397647058823395
Maryland,43.35073529411761
Massachusetts,47.579117647058865
Michigan,32.3358823529411
Minnesota,39.36676470588236
Mississippi,24.6548529411765
Missouri,32.32882352941169
Montana,35.20044117647058
Nebraska,34.78426470588238
Nevada,27.50999999999999
New Hampshire,40.33455882352928
New Jersey,43.83661764705903
New Mexico,29.690147058823527
New York,40.0917647058825
North Carolina,35.33985294117656
North Dakota,32.33382352941169
Ohio,31.336470588235215
Oklahoma,27.74249999999995
Oregon,37.09235294117639
Pennsylvania,35.017058823529396
Rhode Island,37.184558823529414
South Carolina,31.838382352941153
South Dakota ,31.010588235294108
Tennessee,31.006176470588343
Texas,33.35514705882338
Utah,37.49000000000001
Vermont,42.722499999999854
Virginia,42.48279411764702
Washington,39.38264705882352
West Virginia,23.6782352941176
Wisconsin,33.02661764705874
Wyoming,29.947941176470522
