State,QoL
Alabama,40.489411764705885
Alaska,50.62901960784314
Arizona,34.90039215686274
Arkansas,40.98352941176471
California,36.77333333333333
Colorado,56.17254901960784
Connecticut,60.12078431372549
Delaware,57.374117647058824
Florida,36.39529411764706
Georgia,33.80705882352942
Hawaii,64.84078431372549
Idaho,59.58117647058823
Illinois,40.99607843137256
Indiana,39.3443137254902
Iowa,59.28470588235294
Kansas,52.371764705882356
Kentucky,41.77882352941177
Louisiana,33.11529411764706
Maine,64.83294117647058
Maryland,55.4478431372549
Massachusetts,55.461960784313725
Michigan,35.712941176470586
Minnesota,63.27529411764706
Mississippi,39.694117647058825
Missouri,40.996078431372545
Montana,57.152941176470584
Nebraska,58.18039215686275
Nevada,36.374901960784314
New Hampshire,74.02823529411765
New Jersey,53.2156862745098
New Mexico,39.120000000000005
New York,45.03843137254902
North Carolina,32.45960784313725
North Dakota,65.17803921568628
Ohio,38.02039215686275
Oklahoma,43.01803921568627
Oregon,55.75529411764706
Pennsylvania,40.79686274509804
Rhode Island,59.64705882352941
South Carolina,33.60941176470588
South Dakota,53.17647058823529
Tennessee,32.034509803921566
Texas,34.05490196078431
Utah,67.08705882352942
Vermont,75.49176470588236
Virginia,57.18274509803922
Washington,51.92313725490197
West Virginia,46.1443137254902
Wisconsin,50.520784313725486
Wyoming,64.64470588235294
District of Columbia,33.80392156862745
South Dakota ,5.96078431372549
